USERID,VPL,ID_vpl,DATESSUBMITTED,COMMENTS,GRADER,DATEGRADED,GRADE,MAILED,HIGHLIGHT,NEVALUATIONS,GROUPID,DATA_ENVIO,DATA_AVALIACAO,NOTA,CONTAGEM,NOME_ALUNO,ID_alunos,NAME,ATRASO,ENTREGA_NO_PRAZO
28,75,13767,1682880002,,0,1682880013,0,0,0,1,0,2023-04-30 18:40:02,2023-04-30 18:40:13,0.0,5,aluno 38,75,Questão 15,False,True
28,76,13545,1682826256,,0,1682826292,0,0,0,1,0,2023-04-30 03:44:16,2023-04-30 03:44:52,0.0,15,aluno 38,76,Questão 14,False,True
28,77,13798,1682881765,,0,1682881815,0,0,0,1,0,2023-04-30 19:09:25,2023-04-30 19:10:15,0.0,9,aluno 38,77,Questão 16,False,True
28,79,9041,1682357413,,0,1682357443,667.000,0,0,1,0,2023-04-24 17:30:13,2023-04-24 17:30:43,6.67,7,aluno 38,79,Questão 1,False,True
28,80,9220,1682358285,,0,1682358377,500.000,0,0,1,0,2023-04-24 17:44:45,2023-04-24 17:46:17,5.0,7,aluno 38,80,Questão 2,False,True
28,81,9461,1682359354,,0,1682359376,1.000.000,0,0,1,0,2023-04-24 18:02:34,2023-04-24 18:02:56,10.0,4,aluno 38,81,Questão 3,False,True
28,82,9486,1682369860,,0,1682369885,1.000.000,0,0,1,0,2023-04-24 20:57:40,2023-04-24 20:58:05,10.0,5,aluno 38,82,Questão 4,False,True
28,83,12171,1682714767,,0,1682714792,1.000.000,0,0,2,0,2023-04-28 20:46:07,2023-04-28 20:46:32,10.0,5,aluno 38,83,Questão 5,False,True
28,84,9489,1682370974,,0,1682371020,667.000,0,0,1,0,2023-04-24 21:16:14,2023-04-24 21:17:00,6.67,1,aluno 38,84,Questão 6,False,True
28,85,9500,1682371637,,0,1682371680,333.000,0,0,1,0,2023-04-24 21:27:17,2023-04-24 21:28:00,3.33,6,aluno 38,85,Questão 7,False,True
28,86,9817,1682532198,,0,1682532211,1.000.000,0,0,2,0,2023-04-26 18:03:18,2023-04-26 18:03:31,10.0,10,aluno 38,86,Questão 8,False,True
28,87,9951,1682556935,,0,1682557189,667.000,0,0,1,0,2023-04-27 00:55:35,2023-04-27 00:59:49,6.67,8,aluno 38,87,Questão 9,False,True
