ID,COURSE,NAME,SHORTDESCRIPTION,INTRO,INTROFORMAT,STARTDATE,DUEDATE
71,6,Exemplo 3,,"<p dir=""ltr"" style=""text-align: left;"">Número Par ou Ímpar?</p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.24.15.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.24.33.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
72,6,Exemplo 4,,"<p dir=""ltr"" style=""text-align: left;"">Comparação de dois número inteiros! Usando if..else</p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:&nbsp;</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.25.41.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.26.02.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.26.21.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
73,6,Exemplo 5,,"<p dir=""ltr"" style=""text-align: left;"">Comparação de dois números inteiros! Usando if..else aninhados!</p><p dir=""ltr"" style=""text-align: left;"">Exemplo de saída:&nbsp;</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.29.10.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.28.44.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2016.28.20.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
74,6,Exemplo 6,,"<p dir=""ltr"" style=""text-align: left;"">Calculadora Simples usando o Switch..case</p>",1,0,1684800000
75,6,Questão 15,,"<p dir=""ltr"" style=""text-align: left;""></p><p>Usando switch, escreva um programa em C que leia um inteiro ente 1 e 7 e imprima o dia da&nbsp;<span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">semana correspondente a este número. Isto é, domingo se 1, segunda-feira se 2, e assim por&nbsp;</span><span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">diante.</span></p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2011.15.58.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1685232000
76,6,Questão 14,,"<p dir=""ltr"" style=""text-align: left;"">Calculadora Simples usando o Switch..case: + para soma, - para subtração, * para multiplicação, / para divisão.</p><p dir=""ltr"" style=""text-align: left;""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-28%20a%CC%80s%2015.01.28.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p>",1,0,1684800000
77,6,Questão 16,,"<p dir=""ltr"" style=""text-align: left;""></p><p>Escreva o menu de opções abaixo. Leia a opção do usuário e execute a operação escolhida.</p>
<p>Escreva uma mensagem de erro caso a opção seja inválida.</p>
<p>• Escolha a opção:</p>
<p>o 1 - Soma de 2 números.</p>
<p>o 2 - Diferença entre 2 números (maior pelo menor).</p>
<p>o 3 – Produto entre 2 números.</p>
<p>o 4 – Divisão entre 2 números (o denominador não pode ser zero).</p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-19%20a%CC%80s%2011.17.18.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1684800000
78,6,Exemplo 8,,,1,0,1682294400
79,6,Questão 1,,"<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa em C que receba dois números e mostre qual deles é o maior, ou se são iguais.</p><p>Exemplo de saída:</p><p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-15%20a%CC%80s%2021.04.56.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-15%20a%CC%80s%2021.05.32.png"" alt="""" role=""presentation"" class=""img-fluid""><br></p><br><p></p>",1,0,1684886400
80,6,Questão 2,,"<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa que leia um número fornecido pelo usuário. Se esse número for positivo,&nbsp;<span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">calcule a raiz quadrada do número. Se o número for negativo, mostre uma mensagem&nbsp;</span><span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">dizendo que o número é inválido.</span></p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-25%20a%CC%80s%2011.00.49.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-25%20a%CC%80s%2011.01.15.png"" alt="""" role=""presentation"" class=""img-fluid""><br><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-24%20a%CC%80s%2013.59.18.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1684886400
81,6,Questão 3,,"<p dir=""ltr"" style=""text-align: left;""></p><p>Faça um programa que leia um número real. Se o número for positivo imprima a raiz&nbsp;<span style=""font-size: 0.9375rem; font-family: -apple-system, BlinkMacSystemFont, &quot;Segoe UI&quot;, Roboto, &quot;Helvetica Neue&quot;, Arial, &quot;Noto Sans&quot;, &quot;Liberation Sans&quot;, sans-serif, &quot;Apple Color Emoji&quot;, &quot;Segoe UI Emoji&quot;, &quot;Segoe UI Symbol&quot;, &quot;Noto Color Emoji&quot;;"">quadrada. Caso contrário, imprima o número ao quadrado.</span></p><p></p><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-24%20a%CC%80s%2014.20.15.png"" alt="""" role=""presentation"" class=""img-fluid""><img src=""@@PLUGINFILE@@/Captura%20de%20Tela%202023-04-24%20a%CC%80s%2014.20.36.png"" alt="""" role=""presentation"" class=""img-fluid""><br><p></p>",1,0,1684886400
